Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2023-03-29,35,1657.2361259425581,1931.673151814759,14.0,14,,,,,0.4807532270453559,1.7169911283112422,0.2504701381161848,3307,,,,,1634853,
2023-03-30,1,1552.0000149011612,38.14852872846507,,,,,,,0.5366179958376401,0.7842319747742934,0.2890040169009868,120,,,,,,
2023-03-31,98,1927.0146003425011,3775.2047204836476,53.0,51,,,,,0.7406610534880216,1.5928055868752755,0.2697370718174298,6252,,,,1565939,4154536,
2023-04-01,30,1654.6003987256688,1614.8091218741085,9.0,9,,,,,0.5150525156125974,1.5756592986481628,0.2601036049668073,2808,,,,,1593907,
2023-04-02,71,1807.0808187476648,3150.590967882543,13.0,13,,,,,0.5470110473222711,1.5538824863141951,0.2890039775243436,5677,,,,,3962707,
2023-04-03,17,1612.2520316638088,915.9877110827262,6.0,6,,,,,0.3740991487018976,1.298638326005707,0.28900398085700174,1626,,,,,936021,
2023-04-04,75,1829.9319863361666,4142.169539328691,48.0,48,14.169952392578125,121.1302261352539,14.172140121459961,121.1375732421875,1.5244347775707097,13.611225128173828,0.2504701381161848,6847,,,,,4317701,
2023-04-05,75,1851.7762042095912,4389.5433394314705,36.0,36,14.169384956359863,121.12986755371094,14.17995548248291,121.13764190673828,1.6040175796493432,11.886399269104004,0.2504701381161848,7039,,,,,4657053,
2023-04-06,34,1671.0744291909675,1210.007365765675,,,,,,,0.6671906756162114,5.121855735778809,0.2504701381161848,2181,,,,,1849832,
2023-04-07,55,1742.1824636969175,2032.0166941940824,2.0,2,,,,,0.4472522446199689,1.2861338196720855,0.2504701381161848,3920,,,,,2954504,
2023-04-08,32,1642.6216418530375,1104.884690398548,,,,,,,0.38854031197086136,1.5788722703408524,0.2504701381161848,2201,,,,,1407816,
2023-04-09,25,1639.329097097172,1306.753174558563,8.0,8,,,,,0.3726106003220948,1.7236078154110976,0.2504701381161848,2347,,,,,1356667,
2023-04-10,28,1623.8296626856036,1186.2741905628932,4.0,3,,,,,0.4519255570824175,2.3413104111990397,0.255981158889291,2086,,,,,1115881,
2023-04-11,60,1789.6103317051181,3263.2383237083436,32.0,32,,,,,0.4613581967362802,1.2379136408621498,0.2793705386680523,5491,,,,,3691299,
2023-04-12,78,1862.520365187896,3886.405874595957,34.0,34,,,,,0.5496987373252934,1.2961308956112527,0.2601036049668073,6675,,,,,4823967,
2023-04-13,79,1813.2286169605363,3905.7548330192667,34.0,34,14.16996955871582,121.12986755371094,14.172649383544922,121.13758087158203,0.5799232005833781,1.8839084678812332,0.04702877542449093,6764,,,,,4058213,
2023-04-14,99,1867.641247443257,5131.011310455123,48.0,48,13.785907745361328,121.07203674316406,14.17264461517334,121.13763427734375,0.5941883363905138,4.744596004486084,0.013915036999592744,8745,,,,,4903518,
2023-04-15,23,1663.1986561698773,1189.204069915599,6.0,6,13.785386085510254,121.07431030273438,13.786885261535645,121.07471466064453,0.503021194532063,1.1540239290160665,0.2890039920668526,2140,,,,,1727483,
2023-04-16,37,1688.3001479509169,1988.6978633542699,16.0,13,13.785361289978027,121.07339477539062,13.78688907623291,121.07474517822266,0.7144037980596459,1.9279287781754464,0.2504701381161848,3352,,,,,2117436,
2023-04-17,38,1696.347222788982,937.8581194973585,23.0,23,13.789770126342773,121.06219482421875,13.79694652557373,121.07056427001953,0.7969779654340589,1.1926916394271714,0.2890039946915983,1637,,,,1113215,1054293,
2023-04-18,94,1836.1051251383078,4447.659595496616,34.0,34,,,,,0.5501011251911077,1.5897141313351604,0.2697370718174298,7469,,,,,4413601,
2023-04-19,82,1813.6889793710382,4015.8493242483523,31.0,31,,,,,0.598267485780507,1.1709458445457568,0.2697370718174298,6747,,,,,4065365,
2023-04-20,100,1898.5537922616536,3964.1493691152236,38.0,38,,,,,0.6601017198952563,1.2459138465954338,0.2664575944398371,6753,,,,708658,4627383,
2023-04-21,50,1723.5776322999807,1515.1567975507282,30.0,30,13.77991008758545,121.06574249267578,13.781133651733398,121.06666564941406,0.3206880467860503,2.841184966342279,0.19166384637955067,2591,,,,1191151,1394138,
2023-04-22,78,1896.136206737405,2742.3578955912744,53.0,53,,,,,0.659597932069262,1.2380342511072224,0.2504701381161848,4659,,,,1802589,2942667,213586
2023-04-23,39,1692.9500735103375,2140.1468323336353,14.0,14,,,,,0.48198540153127406,1.71743071961025,0.2504701381161848,3700,,,,,2189672,
2023-04-24,53,1749.475356737141,2320.9888953272466,26.0,22,,,,,0.5376745429015934,1.744700165583712,0.2504701381161848,3938,,,,537621,2493987,
2023-04-25,105,1885.890174774672,5215.063070361397,46.0,46,,,,,0.7151267591938242,1.4022642207667293,0.27307462609205146,8608,,,,,5187021,
2023-04-26,85,1838.1234804645026,3810.343034840556,32.0,32,14.169942855834961,121.1298599243164,14.172619819641113,121.13700866699219,0.5213661000125975,1.2136945520743316,0.042524599676454104,6648,,,,,4444957,
2023-04-27,82,1796.354387440494,4020.2379418657983,36.0,36,14.169902801513672,121.12987518310547,14.172410011291504,121.13760375976562,0.6541678286506887,1.2568716777891047,0.2504701381161848,6796,,,,,3796069,
2023-04-28,138,2073.7032527638144,6720.130603396581,69.0,69,13.785093307495117,121.06941986083984,14.171138763427734,121.13597869873047,0.7846447160308346,11.18696403503418,0.15026955880009313,12305,,,,,8104715,
2023-04-29,25,1664.246688423665,1159.9337969997644,10.0,10,13.78589916229248,121.07166290283203,13.786911010742188,121.0746841430664,0.5456358577281804,1.2241987554599703,0.25858252891269873,2292,,,,,1743764,
2023-04-30,3,1582.2086434128157,193.57980220913072,,,,,,,0.711741691370923,1.6647926568984985,0.2539578255875876,822,,,,,469294,
2023-05-01,57,1763.288773569341,1871.3699196314471,31.0,30,,,,,0.46270451878332275,1.9160503315756154,0.2697370718174298,3196,,,,1237880,1961179,
2023-05-02,118,1960.4633558440332,3501.800985135622,12.0,12,,,,,1.619513818697766,15.489999771118164,0.26090639431039947,6328,,,,557358,5254811,220820
2023-05-03,97,1904.258023374058,4924.331559020894,50.0,50,,,,,1.9587231832984513,23.42959976196289,0.2601036049668073,8089,,,,,5472363,
2023-05-04,88,1870.7981994496179,4085.894739453545,32.0,32,14.172595977783203,121.12985229492188,14.172595977783203,121.12985229492188,0.49507381844467196,1.176293083253881,0.2504701381161848,6858,,,,,4952562,
2023-05-05,54,1757.203785635347,2268.8662057375936,10.0,10,13.785934448242188,121.06925201416016,13.78685188293457,121.07463836669922,0.549834211811345,1.2383749876402341,0.2504701381161848,4077,,,,,3187861,
2023-05-06,16,1570.777688702702,557.3645742068595,1.0,1,,,,,0.36239049752283126,1.9359808927819966,0.2697370718174298,1192,,,,,291713,
2023-05-07,120,2115.213312772871,4158.196461075868,5.0,5,13.92707633972168,121.19989013671875,13.927901268005371,121.20022583007812,0.6459419584501,2.4479410648345947,0.2504701381161848,7603,,,,,8749575,
2023-05-08,77,1859.4456626888496,2608.3452479538737,41.0,41,,,,,0.7093177590011643,2.069191293570684,0.2504701381161848,4518,,,,1344676,3341002,
2023-05-09,63,1820.9133833479616,3579.0099698474687,29.0,26,,,,,0.7224819460019257,1.7392223384067405,0.2601036049668073,5928,,,,,4177594,
2023-05-10,56,1789.5841676697137,4036.0812614364577,41.0,41,13.751508712768555,121.05591583251953,13.75606918334961,121.0694351196289,0.560749560463874,4.440495196423648,0.2601036049668073,2955,,,,1634573,1946283,
2023-05-11,45,1772.3616087345308,1611.7043648862166,30.0,30,13.785456657409668,121.06942749023438,13.787089347839355,121.0754165649414,0.5737480886279375,1.503941218088113,0.033523272167880216,2092,,,,1410423,1917968,
2023-05-12,18,1640.9028343666682,947.5507709653675,4.0,4,,,,,0.528053448733146,1.1739559821563268,0.2601036049668073,1720,,,,,1381114,
2023-05-13,68,1755.2527789374494,3280.398990721484,19.0,19,,,,,0.5381704653218279,1.4549094571326704,0.2504701381161848,5539,,,,,3157552,
2023-05-14,40,1695.237751095554,2038.3257626044378,16.0,13,,,,,0.5830745573654271,1.9567190139846016,0.2504701381161848,3472,,,,,2224671,
2023-05-15,56,1723.8876477897975,2408.808172718305,8.0,8,,,,,0.44579451075588516,1.8113983869552612,0.2601036049668073,4148,,,,,2670291,
2023-05-16,81,1813.956374724819,2969.607770609687,4.0,4,13.7535982131958,121.06847381591797,13.926881790161133,121.20021057128906,0.44612045360766794,1.152813937697539,0.2503184352049124,5534,,,,,4069519,
2023-05-17,53,1725.5957975602942,2455.9633618988837,14.0,12,13.783968925476074,121.0729751586914,13.786918640136719,121.07457733154297,0.4113230038342021,1.9952289437421329,0.18857527163873336,4715,,,,,2696829,
2023-05-18,105,1932.5140998536162,5846.442939415423,50.0,50,13.785820007324219,121.0716323852539,14.172648429870605,121.1376724243164,0.5541742406781223,1.2039130295247262,0.2504701381161848,9383,,,,,5911325,
2023-05-19,59,1783.785794153544,2816.449929821028,21.0,21,,,,,0.3923514673396311,1.2381301950219983,0.2504701381161848,4896,,,,,3600815,
2023-05-20,119,2050.647925700952,4104.645303100999,74.0,74,,,,,0.48014007138168,1.354899999401803,0.2556652569800095,7016,,,,2753630,4807543,
2023-05-21,71,1790.1528105513764,4110.067657605984,37.0,32,,,,,0.6164739994331137,2.346213619722477,0.2504701381161848,6769,,,,,3699729,
2023-05-22,96,1905.5844339887872,5121.416871851447,50.0,50,,,,,0.6014518955169047,1.1619321426489198,0.2526258789498905,8421,,,,,5492971,
2023-05-23,88,1883.067146865368,5002.597966012629,50.0,50,,,,,0.5685641700038263,1.5692687886526657,0.2504701381161848,8287,,,,,5143162,
2023-05-24,79,1902.302063599474,4048.144785004989,30.0,30,,,,,0.47891185287228105,1.1887525405046908,0.2793705386680523,6762,,,,,5441976,
2023-05-25,70,1822.5586904348058,3419.0448908715325,34.0,34,14.169921875,121.12987518310547,14.172587394714355,121.13583374023438,0.42709327359442056,2.721569094839541,0.2697370718174298,6123,,,,,4203155,
2023-05-26,87,1889.8138491767993,4210.9448947188375,30.0,30,,,,,0.6087836321966984,1.26639669474329,0.25034033468655104,7189,,,,,5247973,
2023-05-27,77,1836.5951323687061,4222.800747253721,41.0,40,,,,,1.3816691690794993,21.473981857299805,0.25147811777245727,6909,,,,,4421214,
